book_name,tokenized
The Age of Empathy,141 explains that empathy comes natural to humans as it does to most other animals and that were not wired to be selfish and violent but kind and cooperative science
Counterclockwise,142 is a critical look at current perspectives on health with a particular focus on how we can improve our own when we shift from being mindless to mindful science
The Yes Brain,143 offers parenting techniques that will give your kids an open attitude towards life balance resilience insight and empathy science
Born To Run,144 explains the natural benefits of longdistance running and how you can become a better runner too based on several years of research experiences and training science
The Tao of Physics,145 questions many biases about western science and eastern spirituality showing the close connections between the principles of physics and those of buddhism hinduism and taoism science
Rest,146 examines why traditional methods of working too long and hard are inefficient compared to working less resting and playing to accomplish your best work science
The Blue Zones Solution,147 shows you how to adopt the lifestyle and mindset practices of the healthiest longestliving people on the planet from the five locations with the highest population of centenarians science
"Write It Down, Make It Happen",148 is a simple guide to help you accomplish your goals through the act of writing showing you how to use this basic skill to focus address fears and stay motivated science
Atomic Habits,149 is the definitive guide to breaking bad behaviors and adopting good ones in four steps showing you how small incremental everyday routines compound into massive positive change over time science
Homo Deus,150 illustrates the history of the human race from how we came to be the dominant species over what narratives are shaping our lives today all the way to which obstacles we must overcome next to continue to thrive science
The Chimp Paradox,151 uses a simple analogy to help you take control of your emotions and act in your own best interest whether its in making decisions communicating with others or your health and happiness science
Factfulness,152 explains how our worldview has been distorted with the rise of new media which ten human instincts cause erroneous thinking and how we can learn to separate fact from fiction when forming our opinions science
Problem Solving 101,153 is a universal fourstep template for overcoming challenges in life based on a traditional method japanese school children learn early on science
Skin In The Game,154 is an assessment of asymmetries in human interactions aimed at helping you understand where and how gaps in uncertainty risk knowledge and fairness emerge and how to close them science
When: The Scientific Secrets of Perfect Timing,155 breaks down the science of time so you can stop guessing when to do things and pick the best times to work eat sleep have your coffee and even quit your job science
Leonardo Da Vinci,156 is walter isaacsons account of the life of one of the most brilliant artists thinkers and innovators who ever lived science
Barking Up The Wrong Tree,157 turns standard success advice on its head by looking at both sides of many common arguments like confidence extroversion or being nice concluding its really other factors that decide if we win and we control more of them than we think science
Emotional Agility,158 provides a new sciencebacked approach to navigating lifes many trials and detours on your path to fulfillment with which youll face your emotions head on observe them objectively make choices based on your values and slowly tweak your mindset motivation and habits science
The Road Less Traveled,159 is a spiritual classic combining scientific and religious views to help you grow by confronting and solving your problems through discipline love and grace science
The Myth Of Multitasking,160 explains why doing everything at once is neither efficient nor even possible and gives you practical steps for more focus in the workplace science
Long-Term Thinking For A Short-Sighted World,161 explains why we rarely think about the longterm consequences of our actions how this puts our entire species in danger and what we can do to change and ensure a thriving future for mankind science
Genius: The Life And Science Of Richard Feynman,162 tells the story of one the greatest minds in the history of science all the way from his humble beginnings to changing physics as we know it and receiving the nobel prize science
Payoff,163 unravels the complex construct that is human motivation and shows you how it consists of many more parts than money and recognition such as meaning effort and ownership so you can motivate yourself not just today but every day science
Peak,164 accumulates everything the pioneer researcher on deliberate practice has learned about expert performance through decades of exploration and analysis of what separates those who are average from those who are worldclass at what they do science
The Habit Blueprint,165 strips down behavior change to its very core giving you the ultimate researchbacked recipe for cultivating the habits you desire with plenty of backup steps you can take to maximize your chances of success science
Decisive,166 gives you a scientific 4step approach to making better decisions in your life and career based on an extensive study of the available literature and research on the topic science
A Short History Of Nearly Everything,167 explains everything weve learned about our world and the universe so far including how they formed how we learned to make sense of time space and gravity why its such a miracle that were alive and how much of our planet is still a complete mystery to us science
The Art Of Choosing,168 extensively covers the scientific research made about human decision making showing you what affects how you make choices how the consequences of those choices affect you as well as how you can adapt to these circumstances to make better decisions in the future science
Forensics: The Anatomy Of Crime,169 gives you an inside looks at all the different fields of criminal forensics and their history showing you how the investigation and evidencecollection of crimes has changed dramatically within the last 200 years helping us find the truth behind more and more crimes science
The Magic Of Reality,170 explains many of the worlds natural phenomenons in a scientific way so that you can understand how the elementary components of our planet work together to logically yet beautifully create the place we all call home science
The End Of Average,171 explains the fundamental flaws with our culture of averages in which we design everything for the average person when that person doesnt exist and shows how we can embrace our individuality and use it to succeed in a world that wants everyone to be the same science
How Not To Be Wrong,172 shows you that math is really just the science of common sense and that studying a few key mathematical ideas can help you assess risks better make the right decisions navigate the world effortlessly and be wrong a lot less science
